qos,5
counter/fast/q2,b'1175995',74
counter/fast/q2,b'1175996',71
counter/fast/q2,b'1175997',70
counter/fast/q2,b'1176083',857322
counter/fast/q2,b'1176122',242369
counter/fast/q2,b'1176146',331775
counter/fast/q2,b'1176147',243209
counter/fast/q2,b'1176148',310
counter/fast/q2,b'1176149',165
counter/fast/q2,b'1176150',210
counter/fast/q2,b'1176151',309
counter/fast/q2,b'1176152',355
counter/fast/q2,b'1176153',180
counter/fast/q2,b'1176154',226
counter/fast/q2,b'1176155',215
counter/fast/q2,b'1176156',231
counter/fast/q2,b'1176157',149
counter/fast/q2,b'1176158',130
counter/fast/q2,b'1176159',114
counter/fast/q2,b'1176160',107
counter/fast/q2,b'1176161',107
counter/fast/q2,b'1176162',115
counter/fast/q2,b'1176163',131
counter/fast/q2,b'1176249',782161
counter/fast/q2,b'1176277',302904
counter/fast/q2,b'1176306',306555
counter/fast/q2,b'1176307',1012
counter/fast/q2,b'1176308',129
counter/fast/q2,b'1176309',119
counter/fast/q2,b'1176310',154
counter/fast/q2,b'1176311',185
counter/fast/q2,b'1176312',214
counter/fast/q2,b'1176313',128
counter/fast/q2,b'1176314',155
counter/fast/q2,b'1176315',96
counter/fast/q2,b'1176316',245
counter/fast/q2,b'1176317',171
counter/fast/q2,b'1176318',130
counter/fast/q2,b'1176319',209
counter/fast/q2,b'1176320',238
counter/fast/q2,b'1176321',698
counter/fast/q2,b'1176322',222
counter/fast/q2,b'1176323',2042
counter/fast/q2,b'1176419',1223392
counter/fast/q2,b'1176441',307286
counter/fast/q2,b'1176464',243498
counter/fast/q2,b'1176465',311
counter/fast/q2,b'1176466',181
counter/fast/q2,b'1176467',198
counter/fast/q2,b'1176468',232
counter/fast/q2,b'1176469',235
counter/fast/q2,b'1176470',191
counter/fast/q2,b'1176471',163
counter/fast/q2,b'1176472',133
counter/fast/q2,b'1176473',118
counter/fast/q2,b'1176474',116
counter/fast/q2,b'1176475',105
counter/fast/q2,b'1176476',104
counter/fast/q2,b'1176477',102
counter/fast/q2,b'1176478',102
counter/fast/q2,b'1176479',102
counter/fast/q2,b'1176480',102
counter/fast/q2,b'1176481',102
counter/fast/q2,b'1176575',995797
counter/fast/q2,b'1176595',294959
counter/fast/q2,b'1176622',305785
counter/fast/q2,b'1176623',391
counter/fast/q2,b'1176624',487
counter/fast/q2,b'1176625',228
counter/fast/q2,b'1176626',217
counter/fast/q2,b'1176627',197
counter/fast/q2,b'1176628',325
counter/fast/q2,b'1176629',145
counter/fast/q2,b'1176630',88
counter/fast/q2,b'1176631',78
counter/fast/q2,b'1176632',73
counter/fast/q2,b'1176633',72
counter/fast/q2,b'1176634',71
counter/fast/q2,b'1176635',69
counter/fast/q2,b'1176636',70
counter/fast/q2,b'1176637',70
counter/fast/q2,b'1176638',70
counter/fast/q2,b'1176639',79
counter/fast/q2,b'1176697',1124372
counter/fast/q2,b'1176729',306757
counter/fast/q2,b'1176755',307366
counter/fast/q2,b'1176786',384
counter/fast/q2,b'1176787',201
counter/fast/q2,b'1176788',215
counter/fast/q2,b'1176789',162
counter/fast/q2,b'1176790',198
counter/fast/q2,b'1176791',231
counter/fast/q2,b'1176792',219
counter/fast/q2,b'1176793',250
counter/fast/q2,b'1176794',207
counter/fast/q2,b'1176795',167
counter/fast/q2,b'1176796',207
counter/fast/q2,b'1176797',173
counter/fast/q2,b'1176798',161
counter/fast/q2,b'1176799',128
counter/fast/q2,b'1176800',105
counter/fast/q2,b'1176801',103
counter/fast/q2,b'1176802',106
$SYS/broker/uptime,b'3568484 seconds',301081
$SYS/broker/clients/total,b'52',75
$SYS/broker/clients/active,b'49',133
$SYS/broker/clients/connected,b'49',71
$SYS/broker/load/messages/received/1min,b'34669.57',90
$SYS/broker/load/messages/sent/1min,b'257480.52',93
$SYS/broker/load/publish/dropped/1min,b'45499.81',124
$SYS/broker/load/publish/received/1min,b'11346.02',83
$SYS/broker/load/publish/sent/1min,b'228437.69',94
$SYS/broker/load/bytes/received/1min,b'542127.56',54
$SYS/broker/load/bytes/sent/1min,b'6983792.99',78
$SYS/broker/load/sockets/1min,b'110.60',53
$SYS/broker/load/connections/1min,b'110.42',64
$SYS/broker/load/messages/received/5min,b'36496.17',62
$SYS/broker/load/messages/sent/5min,b'288815.25',122
$SYS/broker/load/publish/dropped/5min,b'52798.94',95
$SYS/broker/load/publish/received/5min,b'11312.57',138
$SYS/broker/load/publish/sent/5min,b'257914.30',100
$SYS/broker/load/bytes/received/5min,b'549730.68',117
$SYS/broker/load/bytes/sent/5min,b'8001149.63',66
$SYS/broker/load/sockets/5min,b'127.51',64
$SYS/broker/load/connections/5min,b'126.80',43
$SYS/broker/load/messages/received/15min,b'37295.98',54
$SYS/broker/load/messages/sent/15min,b'294834.99',40
$SYS/broker/load/publish/dropped/15min,b'60128.68',52
$SYS/broker/load/publish/received/15min,b'11303.05',39
$SYS/broker/load/publish/sent/15min,b'263108.75',50
$SYS/broker/load/bytes/received/15min,b'551935.76',39
$SYS/broker/load/bytes/sent/15min,b'8224418.46',51
$SYS/broker/load/sockets/15min,b'152.10',38
$SYS/broker/load/connections/15min,b'151.63',242360
$SYS/broker/messages/stored,b'3155939',679
$SYS/broker/heap/current,b'646978760',133
$SYS/broker/messages/received,b'3225946094',57
$SYS/broker/messages/sent,b'4562701005',72
$SYS/broker/publish/messages/dropped,b'829175762',58
$SYS/broker/publish/messages/received,b'1495992310',66
$SYS/broker/publish/messages/sent,b'2131261125',48
$SYS/broker/bytes/received,b'66375041524',62
$SYS/broker/bytes/sent,b'70085163554',52
$SYS/broker/publish/bytes/received,b'16613247089',65
$SYS/broker/publish/bytes/sent,b'15470528725',55
counter/fast/q2,b'1176871',244097
counter/fast/q2,b'1176899',462
counter/fast/q2,b'1176926',242701
counter/fast/q2,b'1176959',293559
counter/fast/q2,b'1176960',279388
counter/fast/q2,b'1176961',526
counter/fast/q2,b'1176962',204
counter/fast/q2,b'1176963',117
counter/fast/q2,b'1176964',111
counter/fast/q2,b'1176965',97
counter/fast/q2,b'1176966',102
counter/fast/q2,b'1176967',170
counter/fast/q2,b'1176968',95
counter/fast/q2,b'1176969',246
counter/fast/q2,b'1176970',95
counter/fast/q2,b'1176971',80
counter/fast/q2,b'1176972',79
counter/fast/q2,b'1176973',341
counter/fast/q2,b'1176974',399
counter/fast/q2,b'1176975',270
counter/fast/q2,b'1177034',845718
counter/fast/q2,b'1177065',203
counter/fast/q2,b'1177087',305466
counter/fast/q2,b'1177109',308575
counter/fast/q2,b'1177110',243285
counter/fast/q2,b'1177111',390
counter/fast/q2,b'1177112',282
counter/fast/q2,b'1177113',301
counter/fast/q2,b'1177114',176
counter/fast/q2,b'1177115',258
counter/fast/q2,b'1177116',155
counter/fast/q2,b'1177117',144
counter/fast/q2,b'1177118',118
counter/fast/q2,b'1177119',134
counter/fast/q2,b'1177120',112
counter/fast/q2,b'1177121',88
counter/fast/q2,b'1177122',578
counter/fast/q2,b'1177123',136
counter/fast/q2,b'1177124',200
counter/fast/q2,b'1177125',136
counter/fast/q2,b'1177183',815622
counter/fast/q2,b'1177210',186
counter/fast/q2,b'1177238',266936
counter/fast/q2,b'1177239',307131
counter/fast/q2,b'1177240',307767
counter/fast/q2,b'1177241',333
counter/fast/q2,b'1177242',224
counter/fast/q2,b'1177243',202
counter/fast/q2,b'1177244',188
counter/fast/q2,b'1177245',185
counter/fast/q2,b'1177246',406
counter/fast/q2,b'1177247',230
counter/fast/q2,b'1177248',203
counter/fast/q2,b'1177249',266
counter/fast/q2,b'1177250',228
counter/fast/q2,b'1177251',419
counter/fast/q2,b'1177252',110
counter/fast/q2,b'1177253',4808
counter/fast/q2,b'1177254',172
counter/fast/q2,b'1177255',733
counter/fast/q2,b'1177351',954813
counter/fast/q2,b'1177377',295
counter/fast/q2,b'1177402',241420
counter/fast/q2,b'1177403',330153
counter/fast/q2,b'1177404',307338
counter/fast/q2,b'1177405',629
counter/fast/q2,b'1177406',160
counter/fast/q2,b'1177407',110
counter/fast/q2,b'1177408',111
counter/fast/q2,b'1177409',135
counter/fast/q2,b'1177410',138
counter/fast/q2,b'1177411',106
counter/fast/q2,b'1177412',149
counter/fast/q2,b'1177413',301
counter/fast/q2,b'1177414',150
counter/fast/q2,b'1177415',136
counter/fast/q2,b'1177416',134
counter/fast/q2,b'1177417',128
counter/fast/q2,b'1177418',124
counter/fast/q2,b'1177419',128
counter/fast/q2,b'1177493',919986
counter/fast/q2,b'1177524',153
counter/fast/q2,b'1177548',306056
counter/fast/q2,b'1177549',243657
counter/fast/q2,b'1177550',268188
counter/fast/q2,b'1177551',139
counter/fast/q2,b'1177552',113
counter/fast/q2,b'1177553',160
counter/fast/q2,b'1177554',88
counter/fast/q2,b'1177555',106
counter/fast/q2,b'1177556',121
counter/fast/q2,b'1177557',123
counter/fast/q2,b'1177558',148
counter/fast/q2,b'1177559',133
counter/fast/q2,b'1177560',134
counter/fast/q2,b'1177561',105
counter/fast/q2,b'1177562',134
counter/fast/q2,b'1177563',111
counter/fast/q2,b'1177564',137
counter/fast/q2,b'1177565',110
counter/fast/q2,b'1177662',922368
counter/fast/q2,b'1177690',168
counter/fast/q2,b'1177715',304942
counter/fast/q2,b'1177716',307235
counter/fast/q2,b'1177717',306715
counter/fast/q2,b'1177718',447
counter/fast/q2,b'1177719',234
counter/fast/q2,b'1177720',112
counter/fast/q2,b'1177721',107
counter/fast/q2,b'1177722',102
counter/fast/q2,b'1177723',132
counter/fast/q2,b'1177724',187
counter/fast/q2,b'1177725',163
counter/fast/q2,b'1177726',140
counter/fast/q2,b'1177727',161
counter/fast/q2,b'1177728',124
counter/fast/q2,b'1177729',102
counter/fast/q2,b'1177730',92
counter/fast/q2,b'1177731',69
counter/fast/q2,b'1177732',60
counter/fast/q2,b'1177785',920935
counter/fast/q2,b'1177786',113
$SYS/broker/uptime,b'3568495 seconds',153
$SYS/broker/clients/total,b'53',100
$SYS/broker/clients/active,b'50',86
$SYS/broker/clients/connected,b'50',87
$SYS/broker/load/messages/received/1min,b'34689.59',92
$SYS/broker/load/messages/sent/1min,b'258450.16',91
$SYS/broker/load/publish/dropped/1min,b'45410.60',67
$SYS/broker/load/publish/received/1min,b'11331.30',44
$SYS/broker/load/publish/sent/1min,b'229376.74',130
$SYS/broker/load/bytes/received/1min,b'541862.54',210
$SYS/broker/load/bytes/sent/1min,b'7037337.78',206
$SYS/broker/load/sockets/1min,b'107.60',114
$SYS/broker/load/connections/1min,b'107.46',92
$SYS/broker/load/messages/received/5min,b'36434.71',152
$SYS/broker/load/messages/sent/5min,b'287895.52',112
$SYS/broker/load/publish/dropped/5min,b'52516.98',244
$SYS/broker/load/publish/received/5min,b'11310.61',48
$SYS/broker/load/publish/sent/5min,b'257054.90',44
$SYS/broker/load/bytes/received/5min,b'549399.99',43
$SYS/broker/load/bytes/sent/5min,b'7976030.48',42
$SYS/broker/load/sockets/5min,b'126.26',42
$SYS/broker/load/connections/5min,b'125.57',44
$SYS/broker/load/messages/received/15min,b'37265.53',42
$SYS/broker/load/messages/sent/15min,b'294451.53',67
$SYS/broker/load/publish/dropped/15min,b'59944.51',42
$SYS/broker/load/publish/received/15min,b'11302.50',43
$SYS/broker/load/publish/sent/15min,b'262755.67',41
$SYS/broker/load/bytes/received/15min,b'551797.40',41
$SYS/broker/load/bytes/sent/15min,b'8213230.63',85
$SYS/broker/load/sockets/15min,b'151.38',62
$SYS/broker/load/connections/15min,b'150.91',45
$SYS/broker/messages/stored,b'3156028',48
$SYS/broker/subscriptions/count,b'116',38
